Title;Directors;Banning Date;Year;Categorie censura;Censorship Symbols;URL
Le deliranti avventure erotiche dell'agente speciale Margò;Russ Meyer;1978;1976;sesso;∇;https://www.imdb.com/title/tt0075376/
Paradiso, la pensione del libero amore;Eddy Matalon;1978;1974;sesso;∇;https://www.imdb.com/title/tt0071982/
Schiave del piacere;Jean Rollin;1978;1974;sesso;∇;https://www.imdb.com/title/tt0070821/
SexWorld;Anthony Spinelli;1978;1978;sesso;∇;https://www.imdb.com/title/tt0127862/
Punk Story;John Waters;1978;1977;violenza;≡;https://www.imdb.com/title/tt0108461/
Ragazze a pagamento;Richard Balducci;1978;1975;religione;∓;https://www.imdb.com/title/tt1082822/
Sexual Aberration (Sesso perverso);Bruno Mattei;1979;1979;violenza;≡;https://www.imdb.com/title/tt0261985/
Blue Movie Sexycompulsion;Claude Mulot;1979;1976;sesso;∇;https://www.imdb.com/title/tt0075464/
La porno infermiera;Gérard Kikoïne;1979;1978;sesso;∇;https://www.imdb.com/title/tt0270929/
Barnens ö;Kay Pollak;1980;1980;violenza;≡;https://www.imdb.com/title/tt0080419/
Cannibal Holocaust;Ruggero Deodato;1980;1980;violenza;≡;https://www.imdb.com/title/tt0078935/
Pink Narcissus;James Bidgood;1980;1971;sesso;∇;https://www.imdb.com/title/tt0067580/
Blow Job - Dolce lingua;Alberto Cavallone;1980;1980;sesso;∇;https://www.imdb.com/title/tt0080450/
Luce rossa;Angelo Pannacciò;1980;1980;sesso;∇;https://www.imdb.com/title/tt0183430/
Josephine Story;Hans Billian;1980;1976;religione;∓;https://www.imdb.com/title/tt0294658/
Le ragazze blue porno;Jürgen Enz;1980;1978;sesso;∇;https://www.imdb.com/title/tt0198826/
Gola profonda particolare;Kan Mukai;1980;1975;sesso;∇;https://www.imdb.com/title/tt0166847/
Oscenità;Renato Polselli;1980;1980;sesso;∇;https://www.imdb.com/title/tt0131515/
El maravilloso mundo del sexo;Mariano V. García, Gil Carretero;1980;1978;sesso;∇;https://www.imdb.com/title/tt0077910/
Braccio 9 - Violentate senza pietà!!!;Jesús Franco;1980;1978;violenza;≡;https://www.imdb.com/title/tt0123847/
Marcia nuziale;Marco Ferreri;1981;1966;religione;∓;https://www.imdb.com/title/tt0059428/
Dynamite;John Amero, Lem Amero;1981;1972;violenza;≡;https://www.imdb.com/title/tt0136096/
La tenerezza del lupo;Ulli Lommel;1981;1973;violenza e sesso;≡∇;https://www.imdb.com/title/tt0070957/
Gole ingorde di 4 pornoereditiere;Michel Caputo;1981;1977;sesso;∇;https://www.imdb.com/title/tt0268269/
Below the Belt;Bethel Buckalew;1981;1971;;∇;https://www.imdb.com/title/tt0132726/
Il nido dell'uccello;Ted Roter;1981;1981;sesso;∇;https://www.imdb.com/title/tt0195906/
Il leone del deserto;Moustapha Akkad;1982;1980;politica;∅;https://www.imdb.com/title/tt0081059/
Mulher, Mulher;Jean Garret;1982;1979;violenza;≡;https://www.imdb.com/title/tt0256946/
Teresa altri desideri;Bruno Vani, Renato Polselli;1983;1984;sesso;∇;https://www.imdb.com/title/tt0212551/
Manhattan Prostitution;Victor Milt;1983;1976;sesso;∇;https://www.imdb.com/title/tt0158940/
...E il terzo gode;Alberto Cavallone;1983;1984;sesso;∇;https://www.imdb.com/title/tt2214747/
Pink Flamingos;John Waters;1983;1972;sesso;∇;https://www.imdb.com/title/tt0069089/
Ai cessi in tassì;Frank Ripploh;1983;1980;;≡;https://www.imdb.com/title/tt0081606/
Bring Me the Head of Charlie Brown;Jim Reardon;1986;1986;religione;∓;https://www.imdb.com/title/tt0282396/
Lussuria;Joe D'Amato;1986;1986;sesso;∇;https://www.imdb.com/title/tt0091454/
A Seita do Sexo Profano;Fauzi Mansur;1987;1985;religione;∓;https://www.imdb.com/title/tt0778836/
Belva di guerra;Kevin Reynolds;1988;1988;violenza;≡;https://www.imdb.com/title/tt0094716/
AIDS, Furor do Sexo Explícito;Fauzi Mansur;1988;1985;sesso;∇;https://www.imdb.com/title/tt0778601/
Mondo New York;Harvey Keith;1989;1988;violenza;≡;https://www.imdb.com/title/tt0093558/
Il ritorno;Jens Jørgen Thorsen;1992;1992;violenza;≡;https://www.imdb.com/title/tt0104551/
Totòsexy;Mario Amendola;1993;1963;sesso;∇;https://www.imdb.com/title/tt0057596/
Totò che visse due volte;Daniele Ciprì, Franco Maresco;1998;1998;religione;∓;https://www.imdb.com/title/tt0144646/
Un pilota ritorna;Roberto Rossellini;2000;1942;politica;∅;https://www.imdb.com/title/tt0035191/
Extrema - Al limite della vendetta;Talia Lugacy;2008;2007;violenza;≡;https://www.imdb.com/title/tt0463027/
Morituris;Raffaele Picchio;2012;2011;violenza;≡;https://www.imdb.com/title/tt1883269/
Guy Yells at Some Cats;J.R. Howell;2014;2014;violenza;≡;https://www.imdb.com/title/tt3532682/
The Nightmare Returns: A CarrotKiller101 Movie;Alex Parrish;2020;2020;violenza;≡;https://www.imdb.com/title/tt13449612/
Riccioli d'oro;Irving Cummings;0;1935;;;https://www.imdb.com/title/tt0026252/
